files,dl_chalearn15,dl_chalearn16,dl_fgnet,dl_utkface,nodl_chalearn15,nodl_chalearn16,nodl_fgnet,nodl_utkface,noise_0.2_dl_fgnet,noise_0.2_nodl_fgnet
./NPR_test/NPRportrait1//01-Kimberly-Howell.png,42.67318,39.68068,27.371746,24.949375,40.144775,43.1367,41.01267,41.601746,19.221437,32.19641
./NPR_test/NPRportrait1//02-22636558997-80ee36b602-o.png,24.688162,22.916231,43.47648,25.97491,26.978006,20.431368,38.416637,34.475513,26.433802,33.279
./NPR_test/NPRportrait1//03-Rosin.png,30.284468,27.269775,55.040733,55.903004,33.511658,34.0694,69.19839,64.24953,19.408323,44.449802
./NPR_test/NPRportrait1//04-Rosin.png,24.562948,23.82227,17.842594,29.093573,21.346552,19.091372,24.630991,39.997643,15.527296,13.134459
./NPR_test/NPRportrait1//05-Major-General-Edward-Rice.png,33.06275,39.072216,29.315704,43.46067,33.63362,33.752613,30.401453,53.608215,25.355589,29.28957
./NPR_test/NPRportrait1//06-Team-Karim.png,20.55409,21.664324,20.6942,23.636076,23.332283,23.880096,24.003687,39.894115,16.052132,27.958176
./NPR_test/NPRportrait1//07-24930764475-3bfbc008f8-o.png,30.620205,38.779102,31.828344,19.97483,40.730835,34.25779,45.009647,52.21914,25.534836,25.1324
./NPR_test/NPRportrait1//08-Moid-Rasheedi.png,28.54287,25.814041,25.996256,34.860004,24.473495,22.7197,29.070637,43.91591,20.137655,19.563515
./NPR_test/NPRportrait1//09-Aswini-Phy-ALC.png,30.684513,24.599152,28.176874,26.091331,31.61308,26.241022,22.488302,31.458668,12.935861,33.136375
./NPR_test/NPRportrait1//10-Saira-Shah-Halim.png,25.973246,25.244396,20.41728,22.836067,27.550697,23.383833,29.062626,41.117584,26.168018,26.97883
./NPR_test/NPRportrait1//11-Michelle-Chan.png,28.1409,26.511883,18.98811,24.178127,29.483532,31.861301,26.903885,46.009033,21.562244,26.736614
./NPR_test/NPRportrait1//12-38753438484-f65be5b961-o.png,29.078568,29.181559,24.455597,74.25198,28.179085,27.856916,34.373383,67.20126,30.991087,21.34843
./NPR_test/NPRportrait1//13-6884042760-1ee2b00829-o.png,18.075151,22.999739,19.114157,24.4389,19.346647,19.739819,17.926239,48.60612,15.216534,17.752571
./NPR_test/NPRportrait1//14-Rosin.png,26.758215,21.673897,20.286386,18.508894,20.494778,20.208637,28.79366,27.564861,14.827536,23.893187
./NPR_test/NPRportrait1//15-Shimizu-kurumi.png,23.653347,23.190933,13.259624,51.724007,22.683199,23.12604,25.702757,51.73979,10.856751,18.023405
./NPR_test/NPRportrait1//16-Yoon-Yeoil.png,17.147861,21.674755,24.472143,20.496946,26.345608,23.304165,32.304485,26.353941,16.40806,27.531794
./NPR_test/NPRportrait1//17-4891358118-32c20e9d8e-o.png,28.026241,22.641527,7.7192917,28.474863,27.929672,18.961885,14.072225,34.74664,12.074861,10.245301
./NPR_test/NPRportrait1//18-Huw-Evans.png,27.357399,27.49645,26.74691,69.043144,25.791592,21.80689,33.46424,59.10591,16.22165,15.337401
./NPR_test/NPRportrait1//19-Zboralski-waldemar-2012.png,47.800606,53.283215,33.80291,56.90752,50.87654,39.982994,47.921555,43.684563,22.474566,51.97841
./NPR_test/NPRportrait1//20-8552893573-1473209795-o.png,30.214945,26.398817,27.46903,78.47724,42.18,29.34549,39.454456,52.68967,24.965359,19.100918
